juego;orden_sorteo;temporada_o_anyo;fecha_sorteo;nombre;lugar;dia_semana;hora;bote_promocional;combinacion_ordenada;combinacion_salida;reintegro;complementario;pleno15;estrellas;caballos;primer_premio;serie;fraccion;segundo_premio;bote_real;total_premios;recaudacion;apuestas;cat_1;acertantes_1;premio_1;cat_2;acertantes_2;premio_2;cat_3;acertantes_3;premio_3;cat_4;acertantes_4;premio_4;cat_5;acertantes_5;premio_5;cat_6;acertantes_6;premio_6;cat_7;acertantes_7;premio_7;cat_8;acertantes_8;premio_8;cat_9;acertantes_9;premio_9;cat_10;acertantes_10;premio_10;cat_11;acertantes_11;premio_11;cat_12;acertantes_12;premio_12;cat_13;acertantes_13;premio_13;
Euromillions;34;2011;01/07/2011;;;Friday;00:00;0;8 11 23 31 46;11 23 31 8 46;;;;9 8;;;;;;152.000.000;11.828.068;23.656.136;11.828.068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;33;2011;28/06/2011;;;Tuesday;00:00;0;15 16 30 44 50;16 15 44 30 50;;;;3 2;;;;;;132.000.000;7.580.355;15.160.710;7.580.355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;32;2011;24/06/2011;;;Friday;00:00;0;5 16 20 30 41;41 20 5 30 16;;;;11 6;;;;;;119.000.000;10.027.064;20.054.128;10.027.064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;31;2011;21/06/2011;;;Tuesday;00:00;0;17 20 35 49 50;49 50 20 17 35;;;;4 3;;;;;;101.000.000;6.909.920;13.819.840;6.909.920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;30;2011;17/06/2011;;;Friday;00:00;0;11 16 21 22 44;11 22 21 16 44;;;;8 3;;;;;;91.000.000;10.134.561;20.269.122;10.134.561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;29;2011;14/06/2011;;;Tuesday;00:00;0;5 12 19 41 48;41 19 48 5 12;;;;8 10;;;;;;76.000.000;5.980.629;11.961.258;5.980.629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;28;2011;10/06/2011;;;Friday;00:00;0;3 19 20 37 48;37 20 3 48 19;;;;8 11;;;;;;68.000.000;9.651.527;19.303.054;9.651.527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;27;2011;07/06/2011;;;Tuesday;00:00;0;6 25 36 38 40;25 38 40 6 36;;;;10 4;;;;;;54.000.000;5.711.140;11.422.280;5.711.140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;26;2011;03/06/2011;;;Friday;00:00;0;4 39 40 49 50;49 40 50 39 4;;;;2 5;;;;;;46.000.000;9.069.465;18.138.930;9.069.465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;25;2011;31/05/2011;;;Tuesday;00:00;0;1 9 10 22 50;22 9 10 50 1;;;;11 5;;;;;;33.000.000;4.977.925;9.955.850;4.977.925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
